mol,smiles,td_dft_E_S1_eV,td_dft_wl_S1_nm,td_dft_osc_S1,precond_strength_token,precond_absorption_token,precond_token,td_dft_strength_token,td_dft_absorption_token
mol0072,CCC1(C)c2cc(C=O)ccc2-c2ccc(N3c4ccccc4Sc4ccccc43)cc21,3.985571,311.1,7.5293e-05,0,1,str_0_abs_1,0,4
mol0080,O=c1[nH]c(-c2ccc(-c3ccccc3)cc2)c2c(=O)c(=O)cc1-2,2.736701,453.0,9.8586e-05,0,1,str_0_abs_1,0,0
mol0084,c1cnc2c(C3CCCC(c4ccc(-c5ccc(C6CCCC6)nn5)nn4)C3)cncc2c1,4.021519,308.3,0.009400337,0,1,str_0_abs_1,2,4
mol0090,O=C1NC(=O)C2C=CC=CC2C1=O,3.308749,374.7,0.000111877,0,1,str_0_abs_1,0,2
mol0092,c1cnc2c(c1)ccc1cc(C3CCCC3)cnc12,4.455295,278.3,0.002431844,0,1,str_0_abs_1,1,4
mol0093,CCCCCCCCCN1c2ccccc2Sc2cc(/C=C(/C#N)C(=O)O)ccc21,3.254018,381.0,0.878303476,0,1,str_0_abs_1,4,2
mol0095,CC1(C)c2ccccc2N(c2ccc(-c3cc(-c4ccccc4)nc(-c4ccccc4)c3)cc2)c2ccccc21,4.491309,276.1,0.000449934,0,1,str_0_abs_1,0,4
mol0097,c1cc2ccc3cccc4ccc(c1)c2c34,4.07776,304.0,0.002076897,0,1,str_0_abs_1,1,4
mol0102,CCCCCn1c2c(c3cc(C#Cc4ccc5ccc6cccc7ccc4c5c67)ccc31)C(C)(CCC)c1ccccc1-2,3.44805,359.6,1.713112211,0,1,str_0_abs_1,4,3
mol0107,c1cc(-c2cc3ccccc3s2)cc(C2CCC(c3cnc4c(ccc5cc(C6CCCC6)cnc54)c3)CC2)c1,4.442046,279.1,0.005286646,0,1,str_0_abs_1,2,4
mol0111,Cc1cc2cc(N(C)C)ccc2cc1C=O,3.812401,325.2,0.759361285,0,1,str_0_abs_1,4,4
mol0117,CC(=O)c1cn(-c2ccc(-n3c4ccccc4c(=O)c4ccccc43)cc2)c2ccccc12,4.027249,307.9,0.35727848,0,1,str_0_abs_1,4,4
mol0123,O=C(c1cccc(C2CCCC2)c1)C(F)(F)F,4.138675,299.6,0.000203737,0,1,str_0_abs_1,0,4
mol0129,CC1(C)c2ccccc2N(c2cc(C=O)cc(N3c4ccccc4C(C)(C)c4ccccc43)c2)c2ccccc21,3.908613,317.2,0.018919387,0,1,str_0_abs_1,2,4
mol0130,CC1(C)CCc2cc3ccc(N4c5ccccc5Oc5ccccc54)cc3cc2N1,4.067862,304.8,0.198949326,0,1,str_0_abs_1,3,4
mol0132,c1ccc(N(c2ccccc2)c2ccc(C3CCCC3)cc2)cc1,4.402144,281.6,0.050550395,0,1,str_0_abs_1,3,4
mol0135,CCCC1(C)c2cc(-c3ccc(/C=C(\C)c4ccccc4)cc3)ccc2-c2ccc(-c3ccc(/C=C(\C)c4ccccc4)cc3)cc21,3.900723,317.8,3.701980524,0,1,str_0_abs_1,4,4
mol0141,CC(=O)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1cccc(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)n1,4.222142,293.7,0.000282847,0,2,str_0_abs_2,0,4
mol0145,O=c1cc2ccc3cccc4ccc1c2c34,2.086543,594.2,0.118609517,0,2,str_0_abs_2,3,0
mol0153,CCCCCCCN(c1ccccc1)c1ccccc1,4.518782,274.4,0.31018167,0,2,str_0_abs_2,3,4
mol0159,c1ccc2c(c1)Sc1ccccc1N2c1ccc(C2CCCC2)cc1,4.063919,305.1,0.007115413,0,2,str_0_abs_2,2,4
mol0163,CC(=O)c1cc2ccc3cccc4ccc(c1)c2c34,3.784585,327.6,0.042955008,0,2,str_0_abs_2,3,4
mol0174,c1cc(C2CCCC2)cc(-n2c3ccccc3c3cccnc32)c1,4.436806,279.4,0.075497018,0,2,str_0_abs_2,3,4
mol0176,C1=CC2=C(c3cncnc3)C=CC2=C1,1.746932,709.7,0.004396092,0,2,str_0_abs_2,1,0
mol0181,C1=CC2=C(C3=CC4c5ccccc5C3c3cc5ccccc5cc34)C=CC2=C1,1.773611,699.0,0.010763534,0,2,str_0_abs_2,2,0
mol0183,CCC1(C)c2cc(N3c4ccccc4Oc4ccccc43)ccc2-c2ccc(N3c4ccccc4Oc4ccccc43)cc21,4.159646,298.1,0.034840472,0,2,str_0_abs_2,3,4
mol0188,CCCCCCN1c2ccccc2Sc2cc(C=O)ccc21,3.803563,326.0,0.23224675,0,2,str_0_abs_2,3,4
mol0190,c1ccc2c(c1)c1c3ccccc3n(-c3ccc(C4CCC(c5ncco5)CC4)cc3)c1c1ncn(-c3ccc(C4CCCC4)cc3)c21,4.264499,290.7,0.150168327,0,2,str_0_abs_2,3,4
mol0195,CC1=CC2=C3C(=CC=C13)C=C2,1.832544,676.6,0.001507528,0,2,str_0_abs_2,1,0
mol0207,CCCCCCCCN1c2ccccc2Sc2cc(C=O)ccc21,3.802118,326.1,0.231099518,0,2,str_0_abs_2,3,4
mol0209,CCCCCC1CCC(c2ccc(-c3ccc(C4CCCC4)cn3)nc2)CC1,4.779639,259.4,1.131894376,0,2,str_0_abs_2,4,4
mol0213,c1ccc2c(C3CCCC(c4ccc(-c5nnc(-c6ccc(C7CCCC7)cc6)o5)cc4)C3)cncc2c1,4.469412,277.4,1.549369922,0,2,str_0_abs_2,4,4
mol0218,C1=CC2=Nc3ccccc3C2=C1,2.235026,554.7,0.007676246,0,2,str_0_abs_2,2,0
mol0219,O=c1ccc2cccc(-c3cc(C4=C5C=CC=C5C=C4)cc(-c4cc(-c5ccccc5)cc(-c5ccccc5)n4)c3)c2o1,1.724458,719.0,0.007834988,0,2,str_0_abs_2,2,0
mol0223,c1ccc2c(c1)c1ccccc1n2-c1ccc(C2CCCC2)cc1,4.444372,279.0,0.094135453,0,2,str_0_abs_2,3,4
mol0226,CCCNc1c2ccccc2c(C(C)=O)c2ccccc12,3.218871,385.2,0.354257724,0,3,str_0_abs_3,4,2
mol0230,[NH3+]C1CCC([O-])C1,5.826814,212.8,0.050785241,0,3,str_0_abs_3,3,4
mol0236,CC1=c2c(ccc3ccccc23)=c2c(c3c(c4ccccc24)=CC=C3)C1=O,1.563209,793.1,0.155975821,0,3,str_0_abs_3,3,0
mol0238,CCCCCCOc1ccc(C=O)cc1OC,4.089113,303.2,0.000231353,0,3,str_0_abs_3,0,4
mol0252,CCCCCCCCCCCCCOC(=O)c1cc(=O)[nH]c2ccccc12,4.296191,288.6,0.271706203,0,3,str_0_abs_3,3,4
mol0256,CCCCCCCCCCCOc1cc2ccc3cccc4c(S(=O)(=O)O)cc(c1)c2c34,3.856833,321.5,0.138304105,0,3,str_0_abs_3,3,4
mol0257,CCCCCCCCCCCCC(=O)c1ccc2ccc3cccc4ccc1c2c34,3.795007,326.7,0.733914342,0,3,str_0_abs_3,4,4
mol0259,c1ccc(-c2ccc(C3CCCC3)cc2)cc1,5.244812,236.4,0.454120856,0,3,str_0_abs_3,4,4
mol0266,CCCCCCCCCCCNc1cc(Cl)c(Cl)c(Cl)c1,4.610469,268.9,0.085128801,0,3,str_0_abs_3,3,4
mol0268,CCCCCCCCCCCCC(=O)c1ccc2ccccc2c1,4.072013,304.5,0.008959491,0,3,str_0_abs_3,2,4
mol0271,COc1cc(/C=N/NC(=O)Cn2c3ccccc3c(=O)c3ccccc32)ccc1N(C)C,3.942169,314.5,0.04638117,0,3,str_0_abs_3,3,4
mol0273,CCCCCCCCCCCCOc1cc2ccc3cccc4ccc(c1)c2c34,3.345614,370.6,0.381778671,0,3,str_0_abs_3,4,2
mol0288,c1ccc(C2CCC(c3cccc(-c4cc5cccnc5c5ncccc45)c3)C2)nc1,4.387085,282.6,0.005066949,0,3,str_0_abs_3,2,4
mol0293,CCCCCCN(C)c1ccc(C=O)cc1Br,4.142971,299.3,0.000268647,0,3,str_0_abs_3,0,4
mol0302,c1ncc2cc(C3CCC(c4ccc(-n5cnc6cc7c(cc65)ncn7-c5ccc(C6CCCC6)cc5)cc4)CC3)ccc2n1,4.621171,268.3,0.090704933,0,3,str_0_abs_3,3,4
mol0305,CC1=CC2=CC=CC2=C1,1.929615,642.5,0.000559965,0,3,str_0_abs_3,1,0
mol0311,CC1(C)c2cc(C3CCCCC3)ccc2-c2ccc(C3CCCC(c4ccc5ccc6cccnc6c5n4)C3)cc21,4.433627,279.6,0.001433211,0,3,str_0_abs_3,1,4
mol0316,CCCCCCCCCCCOc1ccc(/C=N/c2ccc([N+](=O)[O-])cc2)c(O)c1,3.664999,338.3,1.421514256,0,3,str_0_abs_3,4,3
mol0323,CCCCCCCCCCCCCC(=O)c1ccc(C(=O)CCCCCCCCCC)cc1F,3.976942,311.8,0.002265276,0,3,str_0_abs_3,1,4
mol0329,CCCCC,9.348756,132.6,0.000807087,0,4,str_0_abs_4,1,4
mol0333,CCC,9.508967,130.4,0.00270032,0,4,str_0_abs_4,1,4
mol0339,CCCCCC,9.322711,133.0,7e-09,0,4,str_0_abs_4,0,4
mol0340,O=c1ccoc2cc(N3c4ccccc4C(c4ccccc4)(c4ccccc4)c4ccccc43)ccc12,4.366532,283.9,0.03606516,0,4,str_0_abs_4,3,4
mol0347,N#Cc1cn([C@@H]2O[C@H](CO)[C@H](O)[C@H]2O)c(=O)[nH]c1=O,5.244123,236.4,0.536494226,0,4,str_0_abs_4,4,4
mol0355,C1=Cc2ccc3c(c2=C1)=CC=C3,1.534794,807.8,0.023593367,0,4,str_0_abs_4,2,0
mol0365,COCCOCCOCC(COCCOCCNC(C)=O)OC,5.943998,208.6,0.000754954,0,4,str_0_abs_4,1,4
mol0369,C#Cc1cc(C#Cc2ccc(Cl)cc2)nc(C#Cc2ccc(Cl)cc2)n1,4.126968,300.4,1.661792215,0,4,str_0_abs_4,4,4
mol0371,O=c1cc2ccccn2c2ccccc12,3.721902,333.1,0.23441622,0,4,str_0_abs_4,3,4
mol0374,CO,7.856589,157.8,0.000172847,0,4,str_0_abs_4,0,4
mol0376,O=c1ccoc2cc(O)ccc12,4.362714,284.2,8.201e-06,0,4,str_0_abs_4,0,4
mol0382,CCCCCCCCCSC,5.739502,216.0,0.000309414,0,4,str_0_abs_4,0,4
mol0385,CC(=O)O,6.054154,204.8,0.001412226,0,4,str_0_abs_4,1,4
mol0423,CC1CCc2c1cc(C(F)(F)F)cc2C(F)(F)F,5.274015,235.1,0.056293148,0,4,str_0_abs_4,3,4
mol0429,CCCCCCCC(=O)NCc1ccc(CN2C(=O)c3ccccc3C2=O)cc1,4.456201,278.2,0.00037942,0,4,str_0_abs_4,0,4
mol0438,CCCCCCCCCCCCCC(=O)c1ccc(F)cc1,4.110532,301.6,0.001602444,0,4,str_0_abs_4,1,4
mol0439,CCCCCCCOc1cc(OCCCCC)c(C=O)cc1C=O,4.005955,309.5,7.69e-06,0,4,str_0_abs_4,0,4
mol0445,Cc1cc(N2c3ccccc3Sc3cc(N(c4ccccc4)c4ccccc4)ccc32)ccc1C#N,4.317025,287.2,0.582981029,1,0,str_1_abs_0,4,4
mol0448,Cc1cc(-n2c3ccccc3c3cc4ccccc4cc32)c2ccccc2c1,3.904387,317.6,0.108492825,1,0,str_1_abs_0,3,4
mol0450,CC1=N/C(=C\c2c3ccccc3cc3ccccc23)C(=O)O1,3.149954,393.6,0.550215415,1,0,str_1_abs_0,4,2
mol0451,COCCC1=CC2=NC1=CC=c1[nH]c(cc1CCOC)=C1C=C(C)C(=N1)c1[nH]c2cc1CCOC,1.482446,836.3,0.071417342,1,0,str_1_abs_0,3,0
mol0453,N#Cc1cccc(N(c2ccccc2)c2ccccc2)c1,4.072124,304.5,0.079543975,1,0,str_1_abs_0,3,4
mol0457,Cc1cc(N2c3ccccc3Oc3cc(N(c4ccccc4)c4ccccc4)ccc32)ccc1C#N,3.720163,333.3,0.105316046,1,0,str_1_abs_0,3,4
mol0458,CC1=P(c2ccccc2)(c2ccccc2)C(c2ccccc2)=CC(=Cc2ccccc2)C1,2.550716,486.1,0.041795031,1,0,str_1_abs_0,3,0
mol0462,Cc1cnc2oc3cc(-n4c5ccc(N(c6ccccc6)c6ccccc6)cc5c5cccnc54)cnc3c2c1,3.958144,313.2,0.081660767,1,0,str_1_abs_0,3,4
mol0464,S=[PH]1c2cc(N3c4ccccc4Oc4ccccc43)ccc2-c2ccc(N3c4ccccc4Oc4ccccc43)cc21,3.958934,313.2,0.054521944,1,0,str_1_abs_0,3,4
mol0471,CCc1ccc2cc3cc(C)ccc3cc2c1,3.781617,327.9,0.164256774,1,0,str_1_abs_0,3,4
mol0472,CCCC1=Cc2nc1ccc1[nH]c(cc1CCC)c1nc(ccc3[nH]c2cc3CCC)C(C)=C1,2.244646,552.4,0.314651069,1,0,str_1_abs_0,3,0
mol0475,COc1ccc(-n2c(-c3ccc4n3[B-](F)(F)[N+]3=C(C)C(C)=C(C)C3=C4C)nc3c4ccccc4c4ccccc4c32)cc1,2.886419,429.5,1.039864016,1,0,str_1_abs_0,4,1
mol0478,CCCCCC1(C)c2cc(C=Cc3ccc(C#N)cc3)ccc2-c2ccc(C=Cc3ccc(C#N)cc3)cc21,3.317168,373.8,3.271003224,1,0,str_1_abs_0,4,2
mol0479,CN(C)c1ccc(C2=CC(=O)C=CC2=O)cc1,2.575516,481.4,0.322613965,1,0,str_1_abs_0,4,0
mol0481,CC1=Cc2cc3cc4ccccc4cc3cc2NB1c1ccccc1,3.305534,375.1,0.147165797,1,0,str_1_abs_0,3,2
mol0486,Cc1cc(-c2c(C#N)c(-c3c(C#N)cccc3C#N)c(C#N)c(-c3c(C#N)cccc3C#N)c2C#N)c2oc(=O)ccc2c1,4.292559,288.8,0.25781563,1,0,str_1_abs_0,3,4
mol0489,c1ccc(N(c2ccccc2)c2ccc3c(c2)Sc2ccccc2N3C2CCCC2)cc1,4.130562,300.2,0.110346803,1,0,str_1_abs_0,3,4
mol0504,Cc1cc(N(C)c2ccccc2)ccc1-c1nc2ccccc2c2ccccc12,4.217263,294.0,0.660484126,1,1,str_1_abs_1,4,4
mol0505,CCCCCCCCCCN1c2ccccc2Sc2cc(/C=C(\C#N)C(=O)O)ccc21,3.130003,396.1,0.764724023,1,1,str_1_abs_1,4,2
mol0507,COc1ccc(C2=NN(CN3C(=O)C(=O)c4ccccc43)C(=O)C2)cc1,3.107666,399.0,9.0669e-05,1,1,str_1_abs_1,0,2
mol0509,O=c1cc(O)c(=O)c1=O,2.46971,502.0,5.996e-06,1,1,str_1_abs_1,0,0
mol0510,COc1cccc(N2C(=O)C(=O)NC2=S)c1,3.320868,373.3,7.573e-06,1,1,str_1_abs_1,0,2
mol0513,O=C1NC(=O)N(c2ccccc2)C1=O,4.088497,303.3,0.000910297,1,1,str_1_abs_1,1,4
mol0514,CCCCCCCCCN1c2ccc(/C=C(\C#N)C(=O)O)cc2C2CCCC21,3.365407,368.4,1.216141751,1,1,str_1_abs_1,4,3
mol0516,Cc1cc(Cc2ccc3c(c2)c2cc(C)ccc2n3C)cc(C(=O)c2ccccc2)c1,4.018189,308.6,0.002525635,1,1,str_1_abs_1,1,4
mol0517,CC1(C)CCc2cc3c(cc21)c1ccccc1n3-c1ccccc1,4.412064,281.0,0.089962383,1,1,str_1_abs_1,3,4
mol0518,Cc1cc2ccccc2c2[n+]1[B-](c1ccccc1)(c1ccccc1)Oc1ccc3ccccc3c1-2,3.402134,364.4,0.347964205,1,1,str_1_abs_1,4,3
mol0520,O=C1Cc2cc(N3CCOCC3)ccc2N1,4.438054,279.4,0.068775264,1,1,str_1_abs_1,3,4
mol0525,N#Cc1cc(C#N)c2ccc3c(-c4ccccc4)cc(C#N)c4ccc1c2c43,3.383635,366.4,1.171219155,1,1,str_1_abs_1,4,3
mol0526,CCC1=Cc2ccc3c4c(ccc1c24)C(C)=C3,2.42755,510.7,0.004850857,1,1,str_1_abs_1,2,0
mol0527,CCCCCCCn1cccc1/C=N\c1cc(Cl)cc(Cl)c1,4.164104,297.7,1.084264182,1,1,str_1_abs_1,4,4
mol0533,O=S(=O)(c1ccccc1)c1ccc2c(c1)c1cc(S(=O)(=O)c3ccccc3)ccc1n2-c1cc2cccnc2c2ncccc12,4.469225,277.4,0.004579857,1,1,str_1_abs_1,1,4
mol0536,Cc1cc(C)c2c(C)cc(C)c3c2c1C=C3,3.595297,344.9,0.033428916,1,1,str_1_abs_1,3,3
mol0540,CC(=O)N1C(=O)C(=O)c2ccccc21,3.089906,401.3,0.000126129,1,1,str_1_abs_1,0,2
mol0542,N#Cc1ccc2ccc3cccc4ccc1c2c34,3.80905,325.5,0.777318745,1,1,str_1_abs_1,4,4
mol0543,Cc1cc2c3cc(C#N)c(C#N)cc3n(-c3ccccc3)c2cc1C#N,3.888772,318.8,0.149994371,1,1,str_1_abs_1,3,4
mol0544,CSc1cc(C)cc2ccccc12,4.455092,278.3,0.219445164,1,1,str_1_abs_1,3,4
mol0546,CCCCCCCCCN1c2ccccc2C12C=Nc1c(cc3ccc4cccc5ccc1c3c45)O2,3.671626,337.7,1.181712227,1,2,str_1_abs_2,4,4
mol0549,CC1=CC(Cc2ccc3c(c2)c2cc(C)ccc2n3C)=CC1(c1ccccc1)c1cc(C)cc(C)c1,4.269711,290.4,0.094481028,1,2,str_1_abs_2,3,4
mol0550,CC1=Cc2ccc3c4c(cc(N(C)C)c1c24)C=C3,2.25182,550.6,0.031955362,1,2,str_1_abs_2,3,0
mol0551,CCCCCCCCCN1C(=O)c2cccc3cc(N=Cc4ccc(N5CCOCC5)cc4)cc(c23)C1=O,3.692772,335.7,0.793247565,1,2,str_1_abs_2,4,4
mol0552,CC(=O)N/N=C/c1c2ccccc2cc2ccccc12,3.399412,364.7,0.485138777,1,2,str_1_abs_2,4,3
mol0554,N#Cc1nc2ccccc2nc1-c1cn(-c2ccccc2)c2ccccc12,3.577317,346.6,0.247231195,1,2,str_1_abs_2,3,3
mol0558,BrC1=Cc2ccc3c4c(ccc1c24)C=C3,2.39301,518.1,0.00339688,1,2,str_1_abs_2,1,0
mol0559,CCc1cc2c3c(ccc4c3c1C(C)=C4)C=C2,2.431898,509.8,0.002282408,1,2,str_1_abs_2,1,0
mol0563,Cc1ccc2c(c1)c1cc(-c3ccccc3)ccc1n2-c1cccc(S(=O)(=O)c2ccccc2)c1,4.348114,285.1,0.090595497,1,2,str_1_abs_2,3,4
mol0577,CCCCCCCCCCBr,6.361578,194.9,0.000680089,1,2,str_1_abs_2,1,4
mol0582,O=C(F)c1ccc(N(c2ccccc2)c2ccccc2)cc1,4.050203,306.1,0.891705159,1,2,str_1_abs_2,4,4
mol0586,CCc1cc(C)c2ccc3c(CC)cc(CC)c4ccc1c2c34,3.820723,324.5,0.874763777,1,2,str_1_abs_2,4,4
mol0591,Cc1cc(C)c2ccc3c(C)cc(C)c4ccc1c2c43,3.776555,328.3,0.855791589,1,2,str_1_abs_2,4,4
mol0592,CCCCCCCCCN1C(=O)c2cccc3c(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)ccc(c23)C1=O,3.590418,345.3,1.122254908,1,2,str_1_abs_2,4,3
mol0594,CC1=Cc2ccc3c4c(cc(N(c5ccccc5)c5ccccc5)c1c24)C=C3,2.320511,534.3,0.027238264,1,2,str_1_abs_2,2,0
mol0596,CC(C)(C)C1=CC2=CC=CC2=C1,1.9498,635.9,0.0007817,1,2,str_1_abs_2,1,0
mol0598,c1ccc2c(c1)Sc1ccccc1N2C1CCCC1,4.324616,286.7,0.006581427,1,2,str_1_abs_2,2,4
mol0600,CCC1(C)c2cc(C#Cc3cccc(C=C(C#N)C#N)c3)ccc2-c2ccc(C#Cc3cccc(C=C(C#N)C#N)c3)cc21,3.669315,337.9,3.044805783,1,2,str_1_abs_2,4,3
mol0603,CCCCCCCCCN1c2ccccc2Sc2cc(F)ccc21,4.299014,288.4,0.002491272,1,2,str_1_abs_2,1,4
mol0606,CCCCCCCCCCCOc1ccc2ccc3cccc4ccc1c2c34,3.870707,320.3,0.574691257,1,3,str_1_abs_3,4,4
mol0610,CCCCCc1cc2ccc3ccc4cc(C)sc4c3c2s1,4.19371,295.6,3.863e-05,1,3,str_1_abs_3,0,4
mol0611,Nc1cnc2ccccc2c1,4.241065,292.3,0.185782311,1,3,str_1_abs_3,3,4
mol0615,c1ccc2c(c1)sc1nccc(C3CCCC3)c12,4.661851,266.0,0.065835175,1,3,str_1_abs_3,3,4
mol0616,CCCCOC(=O)c1ccc2ccc3cccc4ccc1c2c34,3.865269,320.8,0.763905742,1,3,str_1_abs_3,4,4
mol0618,CCCC1(C)CCc2cc3ccc(N(C)C)cc3cc21,4.105329,302.0,0.176464748,1,3,str_1_abs_3,3,4
mol0624,CCOc1ccc2c(c1)c1cc(OC)ccc1n2-c1ccccc1,4.114629,301.3,0.138014695,1,3,str_1_abs_3,3,4
mol0628,CC1=CC=c2c1ccc1ccc3c(c21)C=CC=3,1.131147,1096.1,0.026621093,1,3,str_1_abs_3,2,0
mol0634,N#Cc1cn([C@H]2O[C@H](CO)[C@H](O)[C@@H]2O)c(N/N=C2\C(=O)c3cc(Br)ccc3N2Cc2ccccc2)n1,2.909894,426.1,0.327861045,1,3,str_1_abs_3,4,1
mol0639,CCCCCCCCCCN1c2ccccc2Sc2cc(Cl)c3ccccc3c21,3.573866,346.9,0.082301642,1,3,str_1_abs_3,3,3
mol0640,CCCCCCCN1c2cccc3cc(/C=C(\C#N)C(=O)O)cc(c23)C1(C)C,3.085708,401.8,0.194951327,1,3,str_1_abs_3,3,2
mol0645,Fc1cc2c3cccc-3csc2c(F)c1N1c2ccccc2Sc2ccccc21,3.266303,379.6,0.211442199,1,3,str_1_abs_3,3,2
mol0651,CCCOc1cc2ccc3cc(-c4ccc(F)cc4)cc4ccc(c1)c2c34,3.861616,321.1,0.028314572,1,3,str_1_abs_3,2,4
mol0653,NCc1cn(-c2ccccc2)nc1-c1ccccc1,4.953392,250.3,1.065325365,1,3,str_1_abs_3,4,4
mol0655,CC1c2cc(C(F)(F)F)ccc2-c2ccc(C(F)(F)F)cc21,4.854885,255.4,0.701872805,1,3,str_1_abs_3,4,4
mol0656,Cc1cc2ccccc2c2c1C(C)(C)c1c-2ccc2ccccc12,4.053969,305.8,0.682529024,1,3,str_1_abs_3,4,4
mol0660,C[Si](C)(C)c1c2ccccc2cc2ccccc12,3.637457,340.9,0.250867097,1,3,str_1_abs_3,3,3
mol0662,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,4.019733,308.4,1.0548e-05,1,3,str_1_abs_3,0,4
mol0668,CCc1c2ccccc2c(N2c3ccccc3Sc3ccccc32)c2ccccc12,3.603256,344.1,0.329859984,1,3,str_1_abs_3,4,3
mol0678,CCCCCCCCCCCS,5.799943,213.8,0.000644249,1,4,str_1_abs_4,1,4
mol0682,Cc1ccnc(NS(=O)(=O)c2ccc(NC=O)cc2)n1,4.940792,250.9,0.010690425,1,4,str_1_abs_4,2,4
mol0688,O=C1CCC(=O)N1,5.383136,230.3,0.002025266,1,4,str_1_abs_4,1,4
mol0690,O=C1CCc2cc(O)ccc21,4.248113,291.9,0.000176893,1,4,str_1_abs_4,0,4
mol0696,CCCCCSc1ccc(C(F)(F)F)cn1,4.958593,250.0,0.292151017,1,4,str_1_abs_4,3,4
mol0701,O=CO,5.985055,207.2,0.001674888,1,4,str_1_abs_4,1,4
mol0705,NC(=O)c1ccc2ccccc2n1,4.464593,277.7,0.002158784,1,4,str_1_abs_4,1,4
mol0707,Cc1ccc2c(ccc3ccccc32)c1,4.363844,284.1,0.000683416,1,4,str_1_abs_4,1,4
mol0714,COCCOCCOCCOCCOCCOCCOCCOc1ccc2c(c1)C1(OCCO1)c1cc(P(=O)(OC)OCCOCCOCCOCCOCCOCCCCCCl)ccc1-2,4.486923,276.3,0.657675647,1,4,str_1_abs_4,4,4
mol0718,CCCCCCCCCCc1ccc(C(=O)c2ccccc2)cc1,4.025039,308.0,0.002477612,1,4,str_1_abs_4,1,4
mol0719,CCN(C)C,6.710478,184.8,0.024707227,1,4,str_1_abs_4,2,4
mol0723,CCCCCCCCCCCN(C)C,6.854393,180.9,0.065425674,1,4,str_1_abs_4,3,4
mol0728,C1=NN2CCCCC12,5.452806,227.4,0.117323732,1,4,str_1_abs_4,3,4
